GTDB	MICROBE	MICR_NT_PLUS_COMPL_EUK	INVERTEBRATE	PLANT	VERTEBRATE_OTHER	VERTEBRATE_MAMMALIAN	NT	COMBINED
@endo_411:-:8306:8347:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_221:+:1968:2010:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_839:-:196:230:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_529:-:474:516:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_295:+:71:105:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_862:+:1409:1457:48e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_387:+:4531:4570:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_763:-:2956:2989:33e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_488:+:5191:5243:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_311:+:9734:9786:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_283:-:8822:8878:56e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_304:+:4665:4705:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_776:+:8480:8529:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_387:+:1286:1325:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_533:-:9664:9699:35e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_313:+:7809:7852:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_130:-:8871:8918:47e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_152:+:9162:9213:51e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_576:+:9857:9891:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_659:-:6031:6062:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_159:-:8778:8827:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_466:-:9322:9379:57e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_884:+:2512:2572:60e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_482:-:8995:9037:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_898:+:1830:1887:57e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_351:-:3997:4040:43e1_0-2/1	0	0	0	0	0	0	0	0	0
